id,name,lga_id,status,created_at,updated_at,deleted_at
180,UBAHU/AKAWA/AROKPA,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
181,UMUCHIEZE  I,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
182,UMUCHIEZE  II,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
183,UMUCHIEZE  III,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
184,OBINOLU/OBIAGU/LA,17,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
185,BILLE,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
186,BORRONG,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
187,DEMSA,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
188,DILLI,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
189,DONG,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
190,DWAM,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
191,GWAMBA,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
192,KPASHAM,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
193,MBULA KULI,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
194,NASSARAWO DEMSA,18,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
195,BETI,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
196,FARANG,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
197,FUFORE,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
198,GURIN,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
199,KARLAHI,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
200,MAYO INE,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
201,PARIYA,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
202,RIBADU,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
203,UKI TUKI,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
204,WURO BOKKI,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
205,YADIM,19,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
206,BAKARI GUSO,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
207,GAMU,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
208,GANYE I,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
209,GANYE II,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
210,GURUM,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
211,JAGGU,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
212,SANGASUMI,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
213,SUGU,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
214,TIMDORE,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
215,YEBBI,20,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
216,DAKRI,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
217,DAMARE,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
218,GEREI I,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
219,GIREI  II,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
220,GERENG,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
221,JERA BAKARI,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
222,JERA BONYO,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
223,MODIRE/ VINIKILANG,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
224,TAMBO,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
225,WURO DOLE,21,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
226,BOGA/ DINGAI,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
227,DUWA,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
228,GA'ANDA,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
229,GABUN,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
230,GOMBI NORTH,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
231,GOMBI SOUTH,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
232,GARKIDA,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
233,GUYAKU,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
234,TAWA,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
235,YANG,22,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
236,BANJIRAM,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
237,BOBINI,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
238,BODENO,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
239,CHIKILA,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
240,DUKUL,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
241,DUMNA,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
242,GUYUK,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
243,KOLA,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
244,LOKORO,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
245,PUROKAYO,23,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
246,BANGSHIKA,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
247,DAKSIRI,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
248,GARAHA,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
249,GAYA,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
250,HILDI,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
251,HONG,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
252,HUSHERE ZUM,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
253,KWARHI,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
254,MAYO LOPE,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
255,SHANGUI,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
256,THILBANG,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
257,UBA,24,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
258,DANABA,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
259,JADA I,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
260,JADA II,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
261,KOMA I,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
262,KOMA II,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
263,LEKO,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
264,MAPEO,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
265,MAYOKALAYE,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
266,MBULO,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
267,NYIBANGO,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
268,YELLI,25,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
269,DUBWANGUN,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
270,GYAWANA,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
271,LAFIYA,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
272,LAMURDE,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
273,MGBEBONGUN,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
274,NGBAKOWO,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
275,OPALO,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
276,RIGANGE,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
277,SUWA,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
278,WADUKU,26,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
279,BABEL,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
280,DUHU/ SHUWA,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
281,GULAK,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
282,HYAMBULA,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
283,K/WURO NGAYANDI,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
284,MADAGALI,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
285,PALLAM,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
286,SHELMI / SUKUR/ VAPURA,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
287,WAGGA,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
288,WULA,27,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
289,BELEL,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
290,HUMBUTUDI,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
291,KONKOL,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
292,MAIHA GARI,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
293,MANJEKIN,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
294,MAYONGULI,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
295,PAKKA,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
296,SORAU 'A',28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
297,SORAU 'B',28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
298,TAMBAJAM,28,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
299,BAJAMA,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
300,BINYERI,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
301,GANGFADA,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
302,GENGLE,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
303,GOROBI,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
304,MAYO-BELWA,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
305,MAYO FARANG,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
306,NASSARAWO JERENG,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
307,NDIKONG,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
308,TOLA,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
309,YOFFO,29,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
310,BAZZA MARGI,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
311,FUTUDOU / FUTULES,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
312,GARTA / GHUNCHI,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
313,JIGALAMBU,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
314,MADZI,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
315,MICHIKA  I,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
316,MICHIKA  II,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
